Episode,Reward
0,-975.54545
1,-561.303229
2,-505.761755
3,-359.417929
4,-504.97695
5,-355.92044
6,-240.320459
7,-363.06417
8,-294.077447
9,-242.111094
10,-154.152175
11,-165.041837
12,-243.081689
13,-203.073318
14,-180.896444
15,-189.646434
16,-119.156291
17,-98.053572
18,-84.068363
19,-75.375468
20,-66.595105
21,-57.350469
22,-47.238535
23,-91.089931
24,-45.199334
25,-60.792061
26,-56.782499
27,-49.262637
28,-38.855984
29,-47.889776
30,-44.271204
31,-45.871596
32,-44.081238
33,-37.685552
34,-47.127422
35,-39.079987
36,-31.741046
37,-61.851656
38,-23.779945
39,-45.335081
40,-37.537192
41,-54.869125
42,-43.759334
43,-31.859296
44,-18.784716
45,-42.44887
46,-25.778777
47,-22.216896
48,-40.532716
49,-25.901094
50,-28.223268
51,-19.82584
52,-24.52183
53,-27.541784
54,-35.432918
55,-29.188614
56,-24.647905
57,-23.463712
58,-26.098124
59,-22.692011
60,-30.38388
61,-18.263203
62,-19.159408
63,-22.873367
64,-20.712729
65,-24.661492
66,-24.83622
67,-43.217179
68,-25.998458
69,-28.380701
70,-25.323302
71,-25.446336
72,-23.998766
73,-24.982044
74,-28.092043
75,-23.578177
76,-22.97012
77,-21.86106
78,-22.764352
79,-21.338546
80,-26.589353
81,-21.07277
82,-19.280198
83,-21.164902
84,-20.557611
85,-20.210736
86,-19.272974
87,-62.1197
88,-24.666695
89,-19.517221
90,-23.186563
91,-16.480035
92,-18.157547
93,-19.291245
94,-24.812174
95,-18.243069
96,-21.204027
97,-32.680465
98,-17.938715
99,-25.708301
100,-21.403038
101,-22.126543
102,-22.588124
103,-26.00821
104,-20.202995
105,-16.535814
106,-17.228052
107,-20.049984
108,-28.752873
109,-18.500567
110,-17.508373
111,-25.676089
112,-19.534175
113,-19.730467
114,-21.097616
115,-17.550592
116,-21.772728
117,-20.276354
118,-19.160274
119,-19.740596
120,-19.361309
121,-22.267682
122,-26.412649
123,-57.786263
124,-18.037063
125,-26.403814
126,-21.397514
127,-16.111006
128,-16.149995
129,-38.172765
130,-19.101193
131,-14.269997
132,-21.702792
133,-17.701011
134,-15.407168
135,-20.420013
136,-20.679206
137,-17.240483
138,-20.15201
139,-19.398591
140,-18.774586
141,-16.56343
142,-16.977672
143,-18.907314
144,-33.393815
145,-21.119272
146,-20.067838
147,-26.624238
148,-19.494551
149,-18.930237
150,-20.610627
151,-16.533669
152,-15.315966
153,-25.669284
154,-21.222907
155,-16.631465
156,-22.072094
157,-14.336249
158,-17.35044
159,-14.250641
160,-18.575236
161,-17.013527
162,-15.833641
163,-15.383022
164,-17.643742
165,-18.562457
166,-31.10859
167,-16.302213
168,-16.871731
169,-18.445361
170,-22.654527
171,-19.409966
172,-17.733684
173,-14.601142
174,-16.697086
175,-17.259459
176,-16.742185
177,-16.433437
178,-17.652325
179,-17.507716
180,-16.133935
181,-15.440564
182,-12.562642
183,-16.960249
184,-12.785983
