Episode,Reward
0,-587.045803
1,-839.075716
2,-502.462639
3,-747.853277
4,-485.577534
5,-510.099017
6,-408.826058
7,-326.809814
8,-294.300851
9,-397.156682
10,-254.723475
11,-222.295273
12,-232.38279
13,-122.371662
14,-215.438901
15,-129.157749
16,-89.463692
17,-123.242246
18,-157.394015
19,-77.371469
20,-56.407423
21,-82.829118
22,-60.139307
23,-28.681489
24,-89.260505
25,-58.417077
26,-91.718683
27,-43.854283
28,-40.533245
29,-42.612321
30,-53.994454
31,-37.601961
32,-47.248646
33,-31.071884
34,-21.580654
35,-29.693612
36,-26.184885
37,-24.949752
38,-33.000572
39,-38.649251
40,-30.525775
41,-26.922845
42,-20.884988
43,-23.843243
44,-25.270696
45,-40.531153
46,-21.852056
47,-30.44431
48,-29.338419
49,-29.758304
50,-17.352279
51,-23.134745
52,-28.262226
53,-21.212946
54,-39.983368
55,-32.440578
56,-18.108969
57,-24.976885
58,-21.771765
59,-18.492794
60,-24.959967
61,-24.24499
62,-24.231756
63,-20.26295
64,-20.049989
65,-26.751133
66,-35.712951
67,-12.729421
68,-16.910503
69,-26.624937
70,-21.974729
71,-21.306489
72,-20.079903
73,-20.01868
74,-19.722486
75,-21.14976
76,-18.100311
77,-23.082981
78,-22.516672
79,-31.414008
80,-21.515378
81,-29.242681
82,-37.366315
83,-21.680907
84,-18.426724
85,-17.399553
86,-21.456683
87,-18.537115
88,-30.794023
89,-23.785995
90,-18.008554
91,-20.820548
92,-27.731882
93,-31.78231
94,-16.200982
95,-31.73258
96,-39.408959
97,-24.823453
98,-32.84808
99,-29.170563
100,-15.446105
101,-27.011048
102,-26.648238
103,-20.085863
104,-25.936807
105,-16.732763
106,-25.981699
107,-16.214361
108,-22.154473
109,-20.117664
110,-30.170061
111,-37.33379
112,-27.931515
113,-13.902777
114,-18.161776
115,-15.334602
116,-18.700252
117,-14.090074
118,-25.890746
119,-17.654473
120,-30.909216
121,-21.54031
122,-16.350796
123,-14.830253
124,-17.113756
125,-14.404232
126,-25.716246
127,-28.468443
128,-19.119907
129,-27.942037
130,-14.834281
131,-17.107618
132,-36.429396
133,-19.372398
134,-25.52626
135,-18.749143
136,-28.860312
137,-17.884363
138,-16.679107
139,-13.309787
140,-14.765568
141,-16.27164
142,-15.917607
143,-15.992797
144,-23.751708
145,-24.079958
146,-24.034118
147,-17.280964
148,-19.707926
149,-15.191077
150,-14.729345
151,-15.046396
152,-17.822624
153,-17.727804
154,-15.963993
155,-31.649351
156,-17.401996
157,-18.672174
158,-16.756666
159,-15.040865
160,-14.944446
161,-15.451952
162,-15.54244
163,-17.32343
164,-17.597453
165,-11.495283
166,-15.412019
167,-19.231967
168,-19.028609
169,-26.593077
170,-17.201483
171,-18.775016
172,-14.462652
173,-18.949372
174,-12.079893
175,-13.695805
176,-18.651737
177,-14.952214
178,-17.417329
179,-17.568996
180,-16.728203
181,-30.590163
182,-16.468551
183,-33.218255
184,-19.356133
185,-12.013688
186,-16.050525
187,-14.739417
188,-16.377584
189,-16.151043
190,-27.286813
191,-15.139289
192,-17.248579
193,-15.25574
194,-14.859243
195,-16.490585
196,-17.245732
197,-18.006208
198,-19.792139
199,-12.980525
200,-15.647589
201,-18.648033
202,-17.370005
203,-11.546462
204,-14.652214
205,-13.599297
206,-17.809122
207,-13.943655
208,-18.779419
209,-16.14222
210,-16.572809
211,-17.301068
212,-14.821438
213,-18.739098
214,-13.194265
215,-15.418679
216,-13.971414
217,-17.201735
218,-16.015202
219,-13.483233
220,-14.288354
221,-16.765678
222,-16.058292
223,-25.558855
224,-15.159207
225,-29.192404
226,-14.065008
227,-14.995264
228,-17.805462
229,-12.296089
230,-14.976107
231,-28.284376
232,-14.851542
233,-14.543865
234,-13.987184
235,-16.677105
236,-16.783101
237,-9.596987
238,-17.244548
239,-12.142329
240,-14.775555
241,-14.095428
242,-13.190098
243,-11.050185
244,-17.39226
245,-15.355088
246,-11.048085
247,-12.282019
248,-16.59389
249,-15.035013
250,-15.914955
251,-14.361591
252,-17.022865
253,-15.0233
254,-16.353273
255,-11.055503
256,-28.364831
257,-12.338414
258,-15.671318
259,-12.79685
260,-15.096706
261,-15.134522
262,-14.209857
263,-17.528183
264,-15.62084
265,-13.750682
266,-16.042266
267,-15.751859
268,-12.232131
269,-27.218439
270,-15.479065
271,-15.240518
272,-17.957449
273,-11.124397
274,-11.147945
275,-15.721194
276,-15.74548
