Episode,Reward
0,-923.206919
1,-434.264456
2,-663.680666
3,-442.46712
4,-414.215737
5,-379.689398
6,-424.62405
7,-284.621085
8,-226.707168
9,-202.735524
10,-233.789476
11,-163.10652
12,-134.729042
13,-73.207914
14,-76.337213
15,-138.40008
16,-170.735974
17,-73.725802
18,-58.664766
19,-72.673633
20,-61.328689
21,-53.571224
22,-54.720072
23,-56.887701
24,-53.193774
25,-53.020978
26,-44.388985
27,-50.539652
28,-47.959112
29,-72.280633
30,-38.869695
31,-37.897124
32,-52.840647
33,-42.549566
34,-44.147097
35,-47.880543
36,-46.120086
37,-35.568416
38,-39.20417
39,-36.488903
40,-27.553263
41,-427.126224
42,-33.737245
43,-35.209013
44,-31.045758
45,-48.855369
46,-62.861088
47,-22.624423
48,-37.909653
49,-44.622958
50,-40.254714
51,-36.484742
52,-34.3932
53,-28.581489
54,-37.747132
55,-34.12436
56,-39.034176
57,-35.583877
58,-29.960743
59,-27.187261
60,-32.624768
61,-32.188632
62,-524.39908
63,-30.784569
64,-33.021355
65,-52.903161
66,-26.877802
67,-22.738853
68,-29.806477
69,-26.305541
70,-21.276137
71,-28.622498
72,-32.567877
73,-35.760809
74,-40.102048
75,-24.16619
76,-26.22885
77,-29.353987
78,-22.74491
79,-126.121276
80,-24.95728
81,-31.352344
82,-25.641759
83,-25.649354
84,-18.920569
85,-32.107819
86,-4697.536485
87,-27.454083
88,-23.935879
89,-53.212739
90,-19.742537
91,-17.947837
92,-17.990122
93,-26.57682
94,-32.97838
95,-24.891021
96,-18.871796
97,-23.660956
98,-28.802279
99,-21.577785
100,-26.001549
101,-21.462327
102,-21.302584
103,-22.760167
104,-18.666349
105,-17.791363
106,-17.940123
107,-24.277538
108,-28.273297
109,-23.046427
110,-16.083409
111,-16.382185
112,-27.129605
113,-21.017221
114,-19.312196
115,-17.196409
116,-19.468006
117,-29.91793
118,-27.031617
119,-15.540693
120,-26.924853
121,-17.649374
122,-28.629994
123,-20.018801
124,-20.24768
125,-20.647005
126,-31.061969
127,-19.655952
128,-19.039654
129,-18.334221
130,-16.826128
131,-26.631106
132,-17.721963
133,-28.610772
134,-26.45134
135,-18.460598
136,-24.681656
137,-21.844132
138,-18.397251
139,-34.257528
140,-32.946713
141,-17.156683
142,-19.889276
143,-17.041195
144,-17.068263
145,-18.550328
146,-16.713231
147,-19.828899
148,-22.049039
149,-30.661397
150,-23.561257
151,-34.117127
152,-15.198253
153,-33.712766
154,-16.703638
155,-33.494504
156,-18.299602
157,-20.465258
158,-14.174043
159,-29.989242
160,-20.939524
161,-17.76844
162,-17.866112
163,-18.875366
164,-19.682366
165,-22.154627
166,-16.363808
167,-25.025402
168,-16.67555
169,-25.154415
170,-19.056159
171,-18.041359
172,-20.128711
173,-15.040934
174,-15.931404
175,-22.526016
176,-16.846871
177,-15.146649
178,-22.62377
179,-16.714348
180,-16.096689
181,-30.123011
182,-20.054565
183,-17.408256
184,-15.827286
185,-17.408952
186,-29.540413
187,-20.392837
188,-15.50294
189,-20.158268
190,-16.561362
191,-18.440246
192,-28.335928
193,-17.232669
194,-15.097613
195,-17.639446
196,-18.663913
197,-16.02064
198,-17.196356
199,-16.118183
200,-16.360118
201,-16.730488
202,-16.084791
203,-26.66019
204,-17.554582
205,-19.16662
206,-31.242924
207,-30.950688
208,-16.291328
209,-18.450018
210,-14.300663
211,-17.090607
212,-15.874697
213,-22.02608
214,-16.967058
215,-15.926376
216,-25.320805
217,-17.44885
218,-17.938514
219,-25.726684
220,-15.964227
221,-15.738302
222,-16.597221
223,-17.988577
224,-30.828741
225,-16.024979
226,-15.505265
227,-16.288692
228,-15.21654
229,-19.716966
230,-15.915882
231,-12.219149
232,-30.931183
233,-28.025848
234,-15.850194
235,-23.526333
236,-12.885282
237,-15.500835
238,-13.00787
239,-33.965517
240,-14.341433
241,-16.262685
242,-27.13768
243,-18.678663
244,-16.888009
245,-14.839742
246,-15.357269
247,-15.159746
248,-16.382115
249,-15.223868
250,-15.617477
251,-15.653782
252,-16.01556
253,-14.129427
254,-19.048357
255,-19.592814
256,-13.217782
257,-15.92602
258,-19.526958
259,-17.652784
260,-16.329026
261,-27.950623
262,-17.457432
263,-12.428503
264,-17.025709
265,-29.709378
266,-14.273668
267,-13.125104
268,-17.365265
269,-15.701598
270,-15.984795
271,-16.940849
272,-15.297337
273,-16.464169
274,-16.56399
275,-12.968428
276,-16.532498
277,-16.664104
278,-17.546787
279,-17.583181
280,-16.993243
281,-27.801591
282,-19.920308
283,-17.000419
284,-15.470084
285,-16.996184
286,-12.612862
287,-15.841668
288,-26.78334
289,-15.961801
290,-15.148534
291,-17.469737
292,-16.846427
293,-15.505754
294,-17.807753
295,-16.502014
296,-23.076826
297,-18.385983
298,-15.660512
299,-14.463859
300,-17.168675
301,-27.768231
302,-14.404945
303,-14.390843
304,-16.421556
305,-17.319013
306,-15.422045
307,-16.229667
308,-16.313425
309,-12.442985
310,-24.514721
311,-17.650394
312,-14.704443
313,-19.238846
314,-16.496538
315,-25.84159
316,-13.427831
317,-14.982357
318,-14.619649
319,-17.597307
320,-14.402076
321,-32.936098
322,-16.510094
323,-14.722743
324,-23.346263
325,-15.26976
326,-16.30941
327,-15.286165
328,-16.100476
329,-12.337134
330,-19.696342
331,-12.637756
332,-16.735762
333,-15.901067
334,-14.173616
335,-15.025091
336,-13.513406
337,-15.052155
338,-12.408942
339,-14.28182
340,-17.56869
341,-15.070733
342,-12.769048
343,-11.586089
344,-14.339429
345,-18.492616
346,-15.376326
347,-13.938972
348,-12.390507
349,-15.65994
350,-11.692751
351,-11.873485
352,-11.059323
353,-13.153843
354,-16.080923
355,-14.491132
356,-15.286027
357,-15.546252
358,-26.65022
359,-13.153693
360,-15.759312
361,-12.593585
362,-13.859106
363,-17.245747
364,-13.306674
365,-14.491815
366,-14.815707
367,-16.876409
368,-13.787147
369,-27.596548
370,-15.755391
371,-12.59771
372,-12.06836
373,-15.433066
374,-14.127101
375,-15.466
376,-13.85324
377,-13.811047
378,-11.353879
379,-16.234238
380,-13.131069
381,-16.259293
382,-29.051977
383,-10.84217
384,-20.446564
385,-13.981709
386,-15.502633
387,-20.757868
388,-13.773617
389,-13.566407
390,-12.888353
391,-13.043593
392,-13.418944
393,-16.668742
394,-10.227287
395,-10.64497
396,-13.922271
397,-15.558269
398,-12.817982
399,-11.845738
400,-15.119407
401,-12.635024
402,-13.299566
403,-14.339418
404,-13.229142
405,-11.944464
406,-12.155189
407,-10.325283
408,-10.678671
409,-13.020459
410,-12.491722
