Episode,Reward
0,-810.190645
1,-431.671238
2,-610.074376
3,-493.401138
4,-331.764146
5,-455.70802
6,-245.098715
7,-420.380693
8,-226.649031
9,-198.577972
10,-242.559166
11,-137.413224
12,-195.260838
13,-79.786441
14,-82.67011
15,-63.576115
16,-116.927306
17,-65.019035
18,-106.679736
19,-79.706008
20,-64.952377
21,-36.424892
22,-59.819433
23,-28.446386
24,-50.163643
25,-68.074499
26,-24.592139
27,-26.390955
28,-36.950976
29,-49.806321
30,-55.944406
31,-29.149679
32,-41.728368
33,-26.127093
34,-23.846367
35,-41.336307
36,-36.096378
37,-27.779147
38,-31.846647
39,-21.491028
40,-83.597423
41,-34.111047
42,-32.774827
43,-29.295978
44,-20.208751
45,-35.477571
46,-31.337381
47,-29.65592
48,-37.019128
49,-31.963926
50,-51.807292
51,-30.307872
52,-27.215718
53,-39.233201
54,-28.349051
55,-22.548941
56,-27.454635
57,-33.541638
58,-26.397103
59,-29.92352
60,-33.931103
61,-20.045433
62,-27.666717
63,-19.266872
64,-26.890658
65,-23.312713
66,-24.12558
67,-21.865656
68,-20.832141
69,-18.480587
70,-21.081459
71,-20.336084
72,-18.893784
73,-27.933445
74,-18.315292
75,-19.445368
76,-20.195069
77,-24.219762
78,-31.877234
79,-17.428072
80,-23.29987
81,-17.804736
82,-20.361231
83,-14.554111
84,-19.835809
85,-18.526808
86,-27.65933
87,-18.672046
88,-29.141076
89,-14.334792
90,-16.96016
91,-10.319072
92,-15.557769
93,-17.878643
94,-28.493661
95,-17.178626
96,-18.132263
97,-33.185849
98,-20.458325
99,-17.831412
100,-14.94193
101,-19.302026
102,-24.905457
103,-18.349292
104,-14.919019
105,-15.965757
106,-27.613105
107,-18.285527
108,-17.895291
109,-14.393777
110,-20.258813
111,-15.758885
112,-14.905239
113,-18.330244
114,-17.698208
115,-17.225589
116,-19.813078
117,-16.923282
118,-14.525802
119,-18.598833
120,-15.533343
121,-17.248177
122,-29.766776
123,-15.683832
124,-18.723986
125,-18.921259
126,-15.350463
127,-17.125553
128,-16.395223
129,-15.423631
130,-15.432832
131,-16.610297
132,-27.210054
133,-32.484383
134,-15.886075
135,-15.106383
136,-12.899479
137,-14.336858
138,-14.926976
139,-25.513411
140,-15.332258
141,-17.834274
142,-14.409189
143,-30.462739
144,-19.122582
145,-17.455462
146,-16.504026
147,-27.47589
148,-15.336855
149,-22.349993
150,-13.785906
151,-23.403364
152,-17.973508
153,-13.710647
154,-25.057394
155,-19.941786
156,-32.480385
157,-19.106749
158,-14.894464
159,-14.043922
160,-16.654649
161,-18.859395
162,-18.165068
163,-29.431836
164,-16.243334
165,-16.980662
166,-16.636693
167,-15.057606
168,-15.906562
169,-16.882181
170,-17.436762
171,-15.929926
172,-14.999009
173,-17.799357
174,-12.561909
175,-14.951518
176,-16.549495
177,-15.454328
178,-13.686261
179,-13.257387
180,-14.021615
181,-14.181574
182,-29.737238
183,-17.058349
184,-12.902381
185,-14.37078
186,-15.000927
187,-14.672106
188,-16.902015
189,-13.409828
190,-19.163009
191,-19.868187
192,-24.72879
193,-27.5803
194,-13.912787
195,-16.851978
196,-17.441878
197,-14.678108
198,-14.146298
199,-19.759545
200,-15.887067
201,-17.423036
202,-31.159124
203,-16.809811
204,-15.835003
205,-16.009202
206,-16.045466
207,-14.498262
208,-10.513904
209,-13.520838
210,-13.239522
211,-25.011128
212,-13.384872
213,-15.287012
214,-14.686205
215,-28.874691
216,-15.485808
217,-12.357642
218,-15.585455
219,-17.103456
220,-13.635478
221,-17.713543
222,-11.682157
223,-12.977841
224,-15.005036
225,-11.421771
226,-8.040995
227,-14.99765
228,-23.442407
229,-19.7724
230,-14.040627
231,-12.4527
232,-13.738244
233,-12.381942
234,-14.655645
235,-14.626729
236,-11.807106
237,-20.125682
238,-15.905967
239,-15.240839
240,-11.70132
241,-14.776143
242,-13.967479
243,-11.060625
244,-14.40372
245,-14.197905
246,-28.972574
247,-16.008003
248,-11.20796
249,-15.685353
250,-15.003508
251,-13.834445
252,-10.502078
253,-21.537061
254,-13.235136
255,-15.261256
256,-13.500912
257,-14.695964
258,-16.86999
259,-13.818074
260,-14.980896
261,-20.710109
262,-12.971808
263,-14.646705
264,-10.321489
265,-13.942455
266,-17.021917
267,-10.708795
268,-11.348571
269,-11.459398
270,-14.794689
271,-12.918275
272,-13.39644
273,-16.202709
274,-13.362674
275,-12.982246
276,-15.457664
277,-12.863418
278,-14.881697
279,-14.255658
280,-16.831114
281,-13.810964
282,-12.067789
283,-10.871069
284,-9.670404
285,-11.803172
286,-21.968975
287,-11.207649
